
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. top, 1413, 1853, 588, 0, 0, 4, 2, 5, 10
.	. WB2AHBL, 1, 7, 0, 0, 0, 0, 0, 0, 0
.	. neorv32_ProcessorTop_Minimal, 1313, 1705, 588, 0, 0, 4, 2, 1, 0
.	.	. neorv32_top, 1313, 1705, 588, 0, 0, 4, 2, 1, 0
.	.	.	. neorv32_bus_gateway, 8, 29, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_bus_io_switch, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_bus_switch, 4, 72, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_cpu, 824, 1360, 334, 0, 0, 0, 2, 0, 0
.	.	.	.	. neorv32_cpu_alu, 39, 436, 85, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. neorv32_cpu_cp_shifter, 39, 75, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_cpu_control, 681, 881, 203, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. neorv32_fifo_2_17_false_false_0, 38, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. neorv32_fifo_2_17_false_false_1, 36, 30, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_cpu_lsu, 104, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_cpu_regfile, 0, 8, 46, 0, 0, 0, 2, 0, 0
.	.	.	. neorv32_dmem, 2, 5, 0, 0, 0, 4, 0, 0, 0
.	.	.	. neorv32_gpio, 17, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_mtime, 166, 72, 209, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_sysinfo, 6, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_uart, 149, 110, 22, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_fifo_1_8_true_true, 20, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_fifo_1_8_true_true_0, 20, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_wishbone, 113, 39, 10, 0, 0, 0, 0, 0, 0
.	. top_sb, 99, 141, 0, 0, 0, 0, 0, 4, 0
.	.	. CoreAHBLite, 58, 131, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16, 58, 131, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_85_65536_0, 52, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0, 6, 87, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_1, 5, 52, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 41, 9, 0, 0, 0, 0, 0, 2, 0
.	.	. top_sb_CCC_0_FCCC, 0, 1, 0, 0, 0, 0, 0, 1, 0
.	.	. top_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. top_sb_HPMS, 0, 0, 0, 0, 0, 0, 0, 0, 0
