Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,RCOSC_50MHZ
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,0,0,0,0,1,1,0
OSC_C0_0/OSC_C0_0/Primitives,0,0,0,0,0,0,0,0,0,1
Primitives/Primitives,2,0,0,0,10,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/Primitives,15,24,0,0,0,0,0,0,1,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_core_bus_switch_inst/Primitives,92,4,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/Primitives,63,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/Primitives,469,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/neorv32_cpu_cp_shifter_inst/Primitives,120,39,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/Primitives,1031,584,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/prefetch_buffer.0.prefetch_buffer_inst/Primitives,8,4,36,36,0,1,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/prefetch_buffer.1.prefetch_buffer_inst/Primitives,6,4,36,36,0,1,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/Primitives,5,105,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_regfile_inst/Primitives,7,0,72,72,0,2,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_gpio_inst_true.neorv32_gpio_inst/Primitives,10,17,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_mtime_inst_true.neorv32_mtime_inst/Primitives,303,166,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_sysinfo_inst_true.neorv32_sysinfo_inst/Primitives,3,35,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/Primitives,123,111,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/rx_engine_fifo_inst/Primitives,6,12,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/tx_engine_fifo_inst/Primitives,7,12,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/memory_system.neorv32_int_dmem_inst_true.neorv32_int_dmem_inst/Primitives,5,2,144,144,0,0,4,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/memory_system.neorv32_int_imem_inst_true.neorv32_int_imem_inst/Primitives,1122,32,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/neorv32_bus_gateway_inst/Primitives,22,7,0,0,0,0,0,0,0,0
