
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. top_sd, 1141, 1755, 558, 0, 0, 4, 4, 2, 10
.	. FCCC_C0, 0, 1, 0, 0, 0, 0, 0, 1, 0
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 1, 0, 0, 0, 0, 0, 1, 0
.	. OSC_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSC_C0_OSC_C0_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. neorv32_ProcessorTop_MinimalBoot, 1139, 1750, 558, 0, 0, 4, 4, 1, 0
.	.	. neorv32_top, 1139, 1750, 558, 0, 0, 4, 4, 1, 0
.	.	.	. neorv32_bus_gateway, 8, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_bus_io_switch, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_bus_switch, 4, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_cpu, 738, 1454, 288, 0, 0, 0, 4, 0, 0
.	.	.	.	. neorv32_cpu_alu, 39, 540, 85, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. neorv32_cpu_cp_shifter, 39, 89, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_cpu_control, 594, 843, 203, 0, 0, 0, 2, 0, 0
.	.	.	.	.	. neorv32_fifo_2_17_false_false_false_0, 4, 6, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. neorv32_fifo_2_17_false_false_false_1, 4, 8, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. neorv32_cpu_lsu, 105, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_cpu_regfile, 0, 7, 0, 0, 0, 0, 2, 0, 0
.	.	.	. neorv32_dmem, 2, 5, 0, 0, 0, 4, 0, 0, 0
.	.	.	. neorv32_gpio, 17, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_mtime, 166, 73, 225, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_sysinfo, 35, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_uart, 135, 114, 22, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_fifo_1_8_true_true_false, 12, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. neorv32_fifo_1_8_true_true_false_0, 12, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. neorv32_xbus, 10, 6, 10, 0, 0, 0, 0, 0, 0
.	. xbus2ahblite_bridge, 2, 4, 0, 0, 0, 0, 0, 0, 0
